"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"System and method for restoring human motor activity","US2018369053 (A1)","2018-12-27","LUKASHEVICH ULADZISLAU ANATOLIEVICH [BY];  TSAROU IVAN MIKHAILAVICH [BY]","LLC KINIDEKS [RU]","A61H1/02; A63B23/04; A63B24/00","A61F4/00; A61H1/00; A61H1/0262; A63B23/00; A63B23/0405; A63B24/00; A63B24/0003; A63B24/0062; A61H2001/0211; A63B24/0075","US201616062849","20160620","EA20160000137 20151223; WO2016BY00004 20160620","","","","","","","","","","","","","",""
"EXOSKELETON WITH CAMBERED WHEELS FOR HUMAN LOCOMOTION","US2018360677 (A1)","2018-12-20","CARVALHO GILMAR JOSÉ ALVES DE [BR]","CARVALHO GILMAR JOSE ALVES DE [BR]","A61G5/04; A61G5/06; A61G5/10; A61H3/00; B62K11/00; B62K23/02","A61G5/04; A61G5/06; A61G5/061; A61G5/1005; A61G5/104; A61G5/1054; A61G5/1059; A61H3/00; B62K11/00; B62K11/007; B62K23/02; A61G2203/14; A61H2003/001; A61H2003/007; A61H2201/1215; A61H2201/5025; A61H2201/5064; A61H2201/5084; A61H2203/0425","US201615576714","20161215","BR20151031925 20151218; WO2016BR50332 20161215","","","","","","","","","","","","","",""
"FOLLOW-UP CONTROL DEVICE FOR EXOSKELETON ROBOT","US10421185 (B2); US2018361570 (A1)","2018-12-20","XIA NAN [CN]","HANGZHOU QISU TECH CO LTD [CN]","B25J9/10; A61H3/00; B25J9/00; B25J9/12; B25J9/14","A61H1/0237; A61H1/0274; A61H3/00; B25J9/0006; B25J9/101; B25J9/12; B25J9/144; A61H2003/007; A61H2201/123; A61H2201/1246; A61H2201/1659; A61H2201/1676; A61H2201/5066","US201615579941","20160607","CN201510321729 20150612; WO2016CN85159 20160607","US7883546 (B2); US8801641 (B2); US9011354 (B2); US9744093 (B2); US2015321340 (A1); US2016213549 (A1); US2017252254 (A1); EP2985009 (A2)","","","","","","","","US2012004581 (A1); CN201870775U (U); CN102499859 (A); CN103040586 (A); CN103536426 (A); CN203524949U (U); CN105078708 (A); CN204814699U (U)","","","","",""
"Exoskeleton and Method of Providing an Assistive Torque to an Arm of a Wearer","US2018361565 (A1)","2018-12-20","ANGOLD RUSS [US];  LUBIN JAMES [US];  SOLANO MARIO [US];  PARETICH CHRIS [US];  MASTALER TOM [US];  CUNNINGHAM CLAIRE [US];  DACEY KEVIN [US]","EKSO BIONICS INC [US]","B25J9/00; B25J9/10","A61H1/00; A61H1/0274; B25H1/00; B25J9/0006; B25J9/106; B25J9/109; B25J19/0008; A61H2201/0192; A61H2201/1604; A61H2201/1623; A61H2201/163; A61H2201/1635; A61H2201/1638; A61H2201/1645; A61H2201/165; A61H2201/1676; A61H2201/1697; A61H2205/06; B25J19/02","US201816059631","20180809","US201816059631 20180809; US201615385336 20161220; US201562270996P 20151222","","","","","","","","","","","","","",""
"CONNECTING ROD TYPE LOWER LIMB EXOSKELETON REHABILITATION ROBOT","US2018360685 (A1)","2018-12-20","HUANG JIAN [CN];  ZHANG HAITAO [CN];  HUANG ZHANGBO [CN];  TU XIKAI [CN];  XIONG CAIHUA [CN]","HUAZHONG UNIV OF SCIENCE & TECHNOLOGY [CN]","A61H3/00; A61H1/02; A63B21/00; A63B22/02","A61H1/0237; A61H1/024; A61H1/0244; A61H1/0262; A61H3/00; A63B22/02; A63B22/0235; A61H2201/1238; A61H2201/14; A61H2201/164; A61H2201/165; A61H2201/1659; A61H2201/50; A61H2201/5061; A61H2201/5069; A61H2203/0406; A61H2205/10; A63B21/00181; A63B2022/0092; A63B2022/0094","US201816059838","20180809","CN201710365590 20170522; WO2017CN91929 20170706","","","","","","","","","","","","","",""
"ADJUSTABLE TRUNK AND HIP ASSEMBLY FOR EXOSKELETON APPARATUS","US10463562 (B2); US2018338883 (A1)","2018-11-29","CHAVARRIA JOSE [US];  MCKINLEY MICHAEL [US];  JEONG YOON [US];  MARDINI RAGHID [US]","U S BIONICS INC [US]","A61H3/00","A61H1/0244; A61H3/00; A61H2201/0192; A61H2201/1215; A61H2201/1418; A61H2201/1614; A61H2201/1623; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/168; A61H2201/5007; A61H2201/5043","US201815990434","20180525","US201815990434 20180525; US201762510753P 20170525","US2014378882 (A1); US2015025423 (A1); US2015230964 (A1); US2016030272 (A1); US2016206498 (A1)","","","","","","","","WO2018218228 (A1)","","","","",""
"HAPTIC FEEDBACK GLOVE","US2018335841 (A1)","2018-11-22","RUBIN JACOB A [US];  CROCKETT ROBERT S [US];  GOUPIL MARC Y [US];  D'AMELIO JEFFREY D [US];  ROJANACHAICHANIN BODIN L [US];  SJOBERG KURT C [US];  PILLER PAUL [US];  BONAFEDE JR NICHOLAS J [US]","AXONVR CORP [US]","G06F3/01; G06F3/023; G09B21/00","G06F3/014; G06F3/016; G06F3/0233; G09B21/003","US201715599470","20170519","US201715599470 20170519","US2017168565 (A1); US2008102991 (A1); US5184319 (A); US2018017905 (A1)","","","","","","","","","","","","",""
"HAPTIC FEEDBACK GLOVE","US2018335842 (A1)","2018-11-22","RUBIN JACOB A [US];  CROCKETT ROBERT S [US];  GOUPIL MARC Y [US];  D'AMELIO JEFFREY D [US];  ROJANACHAICHANIN BODIN L [US];  SJOBERG KURT C [US];  PILLER PAUL [US];  BONAFEDE JR NICHOLAS J [US]","AXONVR CORP [US]","G06F3/01; G06F3/023","G06F3/014; G06F3/016; G06F3/0233","US201715599471","20170519","US201715599471 20170519","","","","","","","","","","","","","",""
"MODULAR QUICK-CONNECT A/V SYSTEM AND METHODS THEREOF","US2018332384 (A1)","2018-11-15","WILKER SCOTT D [US];  WILKER JORDAN D [US]","SONIC BLOCKS INC [US]","H04R1/28; H04R1/02; H04R1/08; H04R1/32; H04R3/04","G10L15/22; H04R1/02; H04R1/026; H04R1/028; H04R1/08; H04R1/2803; H04R1/323; H04R3/04; H04R1/403; H04R27/00; H04R2201/028; H04R2227/003; H04R2420/07; H04R2420/09; H04R2499/15","US201816043018","20180723","US201816043018 20180723; US201615160550 20160520; US201514623079 20150216; US201461940311P 20140214","","","","","","","","","","","","","",""
"Load-bearing powered exoskeleton using electromyographic control","US10124484 (B1)","2018-11-13","BARNES GAVIN A [US]","LOCKHEED CORP [US]","B25J9/00; A61B5/0492; B25J9/16","A61B5/0492; B25J9/0006; B25J13/00; A61B5/7225; Y10S901/46","US201615371709","20161207","US201615371709 20161207; US201562264547P 20151208","","","","","","","","","","","WO2014159608 (A1)","","",""
"PASSIVE POWER-CONSERVATIVE ARTIFICIAL KNEE","US2018318164 (A1)","2018-11-08","WU SHANG-LI [US];  KAZEROONI HOMAYOON [US]","UNIV CALIFORNIA [US]","A61H1/02; A61F2/64; A61F2/68; A61F5/01; A61H3/00","A61F2/64; A61F2/68; A61F5/0123; A61F5/0127; A61H1/024; A61H1/0262; A61H3/00; A61F2005/0155; A61F2005/0158; A61H1/0244; A61H2201/1207; A61H2201/1246; A61H2201/149; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1676","US201816026966","20180703","US201816026966 20180703; US201615190946 20160623; US201562183440P 20150623","","","","","","","","","","","","","",""
